date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:47	48156/48156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22bc1c-57ed9e3b0b99f%22	https://demo.arrowthemes.com/html/fonts/proximasoft-regular.eot?	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/fonts/proximasoft-regulard41d.eot	(from https://demo.arrowthemes.com/html/css/style.min.css)
13:22:47	52303/52303	---M--	200	added ('OK')	application/font-woff2	etag:%22cc4f-57ed9e3a2f62c%22	https://demo.arrowthemes.com/html/fonts/proximasoft-regular.woff2	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/fonts/proximasoft-regular.woff2	(from https://demo.arrowthemes.com/html/css/style.min.css)
13:22:48	68394/68394	---M--	200	added ('OK')	application/x-font-woff	etag:%2210b2a-57ed9e38a6ce6%22	https://demo.arrowthemes.com/html/fonts/proximasoft-regular.woff	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/fonts/proximasoft-regular.woff	(from https://demo.arrowthemes.com/html/css/style.min.css)
13:22:49	20929/20929	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:22:49%20GMT	https://demo.arrowthemes.com/html/fonts/proximasoft-regular.ttf	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/fonts/proximasoft-regular.html	(from https://demo.arrowthemes.com/html/css/style.min.css)
13:22:50	339/339	---M--	200	added ('OK')	image/png	etag:%22153-57ed9e47945a6%22	https://demo.arrowthemes.com/html/images/arrows.png	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/arrows.png	(from https://demo.arrowthemes.com/html/css/style.min.css)
13:22:52	8229/8229	---M--	200	added ('OK')	image/svg+xml	etag:%222025-57ed9e4400170%22	https://demo.arrowthemes.com/html/images/envato-logo.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/envato-logo.svg	(from https://demo.arrowthemes.com/html/css/style.min.css)
13:22:53	572/572	---M--	200	added ('OK')	image/png	etag:%2223c-57ed9e43f70e8%22	https://demo.arrowthemes.com/html/images/size-icons.png	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/size-icons.png	(from https://demo.arrowthemes.com/html/css/style.min.css)
13:22:54	900/900	---M--	200	added ('OK')	image/svg+xml	etag:%22384-57ed9e48b00ba%22	https://demo.arrowthemes.com/html/images/preloader.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/images/preloader.svg	(from https://demo.arrowthemes.com/html/css/style.min.css)
13:22:56	1240/1240	---M--	200	added ('OK')	image/png	etag:%224d8-57ed87051d480%22	https://demo.arrowthemes.com/html/truford/images/favicon.png	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/favicon.png	(from https://demo.arrowthemes.com/html/truford/)
13:22:58	2062/2062	---M--	200	added ('OK')	image/png	etag:%2280e-57ed87051d480%22	https://demo.arrowthemes.com/html/truford/images/apple_touch_icon.png	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/apple_touch_icon.png	(from https://demo.arrowthemes.com/html/truford/)
13:23:00	188949/188949	---M--	200	added ('OK')	text/css	etag:%222e215-582dbe798305b%22	https://demo.arrowthemes.com/html/truford/css/default/bootstrap.css	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/css/default/bootstrap.css	(from https://demo.arrowthemes.com/html/truford/)
13:23:01	3737/3737	---M--	200	added ('OK')	text/css	etag:%22e99-582dbfd12ba99%22	https://demo.arrowthemes.com/html/truford/css/custom.css	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/css/custom.css	(from https://demo.arrowthemes.com/html/truford/)
13:23:01	344432/344432	---M--	200	added ('OK')	text/css	etag:%2254170-582dbe7950f93%22	https://demo.arrowthemes.com/html/truford/css/default/template.css	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/css/default/template.css	(from https://demo.arrowthemes.com/html/truford/)
13:23:02	538/538	---M--	200	added ('OK')	image/svg+xml	etag:%2221a-57557133e2e40%22	https://demo.arrowthemes.com/html/truford/images/icons/to-top.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/icons/to-top.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:03	5155/5155	---M--	200	added ('OK')	image/svg+xml	etag:%221423-582dbcd85c57e%22	https://demo.arrowthemes.com/html/truford/images/demo/default/logo/logo.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/default/logo/logo.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:03	65551/65551	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:03%20GMT	https://demo.arrowthemes.com/html/truford/?page=home	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index9ba3.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:04	985/985	---M--	200	added ('OK')	image/svg+xml	etag:%223d9-57585089a8dc0%22	https://demo.arrowthemes.com/html/truford/images/demo/default/logo/logo-small.svg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/default/logo/logo-small.svg	(from https://demo.arrowthemes.com/html/truford/)
13:23:04	65370/65370	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:05%20GMT	https://demo.arrowthemes.com/html/truford/?page=header-metro&header=metro	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexf9a0.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:04	65374/65374	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:05%20GMT	https://demo.arrowthemes.com/html/truford/?page=header-default&header=default	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexf7e9.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:05	46661/46661	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:05%20GMT	https://demo.arrowthemes.com/html/truford/?page=module-layouts	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index4289.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:05	33179/33179	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:05%20GMT	https://demo.arrowthemes.com/html/truford/?page=full-content	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index8b21.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:06	276484/276484	---M--	200	added ('OK')	image/jpeg	etag:%2243804-5828dbc6b4aa6%22	https://demo.arrowthemes.com/html/truford/images/demo/default/slideshow/1.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/default/slideshow/1.jpg	(from https://demo.arrowthemes.com/html/truford/)
13:23:07	32880/32880	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:06%20GMT	https://demo.arrowthemes.com/html/truford/?page=left-content	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexfa54.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:07	64988/64988	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:06%20GMT	https://demo.arrowthemes.com/html/truford/?page=header-center&header=center	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexa9d9.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:07	241699/241699	---M--	200	added ('OK')	image/jpeg	etag:%223b023-5828dbc82ddd3%22	https://demo.arrowthemes.com/html/truford/images/demo/default/slideshow/2.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/default/slideshow/2.jpg	(from https://demo.arrowthemes.com/html/truford/)
13:23:08	32993/32993	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:08%20GMT	https://demo.arrowthemes.com/html/truford/?page=left-content-right	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/indexed51.html	(from https://demo.arrowthemes.com/html/truford/)
13:23:08	52298/52298	---M--	200	added ('OK')	image/jpeg	etag:%22cc4a-57ed87051d480%22	https://demo.arrowthemes.com/html/truford/images/demo/default/content/header-bg.jpg	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/images/demo/default/content/header-bg.jpg	(from https://demo.arrowthemes.com/html/truford/)
13:23:08	32964/32964	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2020:23:09%20GMT	https://demo.arrowthemes.com/html/truford/?page=content-left-right	C:/Users/user/Desktop/restaurant/demo.arrowthemes.com/html/truford/index86ea.html	(from https://demo.arrowthemes.com/html/truford/)
